"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"01/11/2023","21.841,73","20.881,20","21.897,95","20.758,07","","5,04%"
"01/10/2023","20.794,62","21.635,36","21.734,88","20.456,90","","-3,50%"
"01/09/2023","21.547,82","22.053,41","22.429,50","21.242,13","","-2,37%"
"01/08/2023","22.071,55","22.558,45","22.623,10","21.395,89","","-2,42%"
"01/07/2023","22.617,82","22.360,13","22.703,07","21.274,39","","1,40%"
"01/06/2023","22.305,82","21.462,74","22.363,99","21.315,65","","4,52%"
"01/05/2023","21.340,42","22.133,32","22.432,75","21.295,03","","-3,86%"
"01/04/2023","22.197,17","21.599,67","22.345,67","21.477,98","","3,04%"
"01/03/2023","21.542,88","21.393,05","21.751,01","19.973,65","","0,86%"
"01/02/2023","21.359,50","20.826,99","21.708,84","20.745,90","","2,63%"
"01/01/2023","20.812,92","19.159,51","20.916,11","19.151,13","","9,55%"
"01/12/2022","18.998,47","19.901,84","20.023,66","18.747,47","","-3,81%"
"01/11/2022","19.750,64","18.539,46","19.765,46","18.135,19","","7,60%"
"01/10/2022","18.354,97","16.687,53","18.432,23","16.561,51","","8,75%"
"01/09/2022","16.877,53","17.751,05","18.704,20","16.485,28","","-5,80%"
"01/08/2022","17.917,08","18.859,24","19.332,09","17.917,08","","-5,02%"
"01/07/2022","18.863,10","17.165,44","18.932,63","16.921,66","","9,01%"
"01/06/2022","17.303,51","18.970,13","19.224,72","17.034,77","","-8,19%"
"01/05/2022","18.847,62","18.571,03","19.175,31","17.566,30","","0,49%"
"01/04/2022","18.756,09","19.035,10","19.315,09","18.196,09","","-1,27%"
"01/03/2022","18.997,73","18.937,86","19.481,31","16.402,51","","0,13%"
"01/02/2022","18.973,97","20.094,14","20.428,46","18.330,17","","-4,86%"
"01/01/2022","19.942,84","20.504,40","21.038,40","19.244,88","","-2,04%"
"01/12/2021","20.357,80","19.273,51","20.496,18","19.147,85","","6,47%"
"01/11/2021","19.120,90","19.526,14","20.419,24","18.935,24","","-1,50%"
"01/10/2021","19.412,63","18.249,51","19.412,63","18.224,50","","4,76%"
"01/09/2021","18.530,62","19.102,69","19.239,45","18.119,59","","-2,18%"
"01/08/2021","18.943,15","18.880,11","19.605,27","18.604,46","","1,02%"
"01/07/2021","18.751,02","18.569,31","18.916,49","17.731,58","","1,63%"
"01/06/2021","18.450,28","18.292,57","18.932,25","18.276,45","","1,23%"
"01/05/2021","18.226,85","17.564,98","18.365,79","17.308,76","","4,03%"
"01/04/2021","17.520,17","16.951,19","17.751,79","16.907,12","","3,57%"
"01/03/2021","16.916,51","16.069,99","17.001,58","16.028,00","","6,52%"
"01/02/2021","15.881,56","15.152,56","16.246,74","15.120,12","","5,63%"
"01/01/2021","15.034,98","15.630,81","15.931,17","14.979,33","","-2,60%"
"01/12/2020","15.436,40","15.394,39","15.642,71","14.751,51","","0,76%"
"01/11/2020","15.320,71","12.812,11","15.582,25","12.720,25","","20,12%"
"01/10/2020","12.754,63","13.465,22","13.876,96","12.527,89","","-4,36%"
"01/09/2020","13.335,41","13.780,86","14.215,72","12.954,84","","-2,70%"
"01/08/2020","13.705,50","13.289,50","14.119,14","13.196,80","","3,42%"
"01/07/2020","13.252,47","13.626,77","14.330,92","13.252,47","","-2,64%"
"01/06/2020","13.611,91","13.132,32","14.342,92","12.907,27","","5,48%"
"01/05/2020","12.904,55","12.091,76","13.148,19","11.527,04","","3,38%"
"01/04/2020","12.482,89","11.623,23","12.885,75","11.302,20","","4,07%"
"01/03/2020","11.994,80","14.739,11","14.993,47","9.885,05","","-16,99%"
"01/02/2020","14.450,31","15.844,03","16.631,53","14.231,67","","-8,55%"
"01/01/2020","15.801,32","16.346,86","16.623,93","15.781,36","","-2,71%"
"01/12/2019","16.242,10","16.048,70","16.478,32","15.471,08","","1,33%"
"01/11/2019","16.028,49","15.595,94","16.191,04","15.569,59","","3,13%"
"01/10/2019","15.542,73","15.451,41","15.673,98","14.630,30","","0,92%"
"01/09/2019","15.401,49","14.854,17","15.431,16","14.739,74","","3,74%"
"01/08/2019","14.846,19","14.900,88","15.070,83","14.006,60","","-0,69%"
"01/07/2019","14.949,61","15.114,50","15.366,42","14.889,66","","-0,28%"
"01/06/2019","14.992,26","13.941,20","15.103,88","13.889,17","","6,83%"
"01/05/2019","14.033,94","14.808,20","14.821,36","13.908,06","","-5,27%"
"01/04/2019","14.813,93","14.234,11","14.813,93","14.185,78","","4,93%"
"01/03/2019","14.118,08","13.869,76","14.353,25","13.743,25","","2,31%"
"01/02/2019","13.799,69","13.178,10","13.820,38","13.024,05","","4,97%"
"01/01/2019","13.146,70","12.217,86","13.208,73","12.123,16","","5,59%"
"01/12/2018","12.450,81","13.420,68","13.427,39","11.991,01","","-5,21%"
"01/11/2018","13.135,45","13.317,98","13.562,52","12.844,56","","-1,70%"
"01/10/2018","13.362,28","14.407,08","14.472,68","12.846,42","","-7,23%"
"01/09/2018","14.403,33","14.140,68","14.543,08","13.684,09","","1,74%"
"01/08/2018","14.156,80","14.453,25","14.503,20","13.842,83","","-1,89%"
"01/07/2018","14.429,61","13.780,62","14.476,03","13.723,67","","3,55%"
"01/06/2018","13.935,39","14.183,08","14.544,56","13.733,52","","-0,95%"
"01/05/2018","14.069,56","14.146,18","14.642,28","13.985,68","","-0,55%"
"01/04/2018","14.147,17","13.135,22","14.149,51","13.007,70","","7,23%"
"01/03/2018","13.193,11","13.519,22","13.547,16","12.863,29","","-2,70%"
"01/02/2018","13.559,19","14.043,62","14.091,55","12.872,92","","-2,92%"
"01/01/2018","13.967,67","13.549,02","14.184,53","13.395,98","","3,21%"
"01/12/2017","13.533,27","13.661,60","13.812,28","13.470,77","","-0,91%"
"01/11/2017","13.658,19","14.036,07","14.066,61","13.386,60","","-2,32%"
"01/10/2017","13.982,49","13.542,71","14.008,52","13.526,85","","3,31%"
"01/09/2017","13.534,83","12.977,89","13.534,83","12.807,70","","4,94%"
"01/08/2017","12.897,74","12.977,15","13.268,16","12.668,18","","-0,16%"
"01/07/2017","12.918,48","13.056,05","13.338,73","12.914,36","","-0,46%"
"01/06/2017","12.978,71","13.355,08","13.566,03","12.969,98","","-2,69%"
"01/05/2017","13.336,88","13.121,94","13.581,06","13.095,64","","2,01%"
"01/04/2017","13.074,04","12.694,33","13.137,09","12.340,65","","3,15%"
"01/03/2017","12.675,36","12.097,13","12.675,36","12.097,13","","5,62%"
"01/02/2017","12.001,04","11.821,35","12.183,27","11.692,87","","2,33%"
"01/01/2017","11.727,63","11.964,97","12.171,51","11.727,63","","-2,31%"
"01/12/2016","12.005,34","11.264,32","12.010,23","11.064,59","","6,41%"
"01/11/2016","11.281,90","11.157,99","11.344,86","10.700,16","","1,63%"
"01/10/2016","11.101,18","10.940,35","11.273,54","10.759,92","","1,45%"
"01/09/2016","10.942,12","10.925,10","11.223,77","10.588,33","","0,38%"
"01/08/2016","10.901,03","10.979,04","11.121,62","10.545,07","","-0,04%"
"01/07/2016","10.904,93","10.458,34","10.990,54","9.977,02","","4,85%"
"01/06/2016","10.400,40","10.977,43","11.021,52","9.708,86","","-5,31%"
"01/05/2016","10.984,21","10.687,04","11.059,91","10.241,91","","3,52%"
"01/04/2016","10.610,35","10.333,34","10.999,72","10.088,83","","1,42%"
"01/03/2016","10.461,67","10.343,86","10.908,30","10.307,82","","0,92%"
"01/02/2016","10.366,75","10.520,50","10.530,22","9.269,28","","-1,32%"
"01/01/2016","10.505,26","10.895,12","10.898,21","9.713,53","","-4,72%"
"01/12/2015","11.025,92","11.771,28","11.807,61","10.618,09","","-6,24%"
"01/11/2015","11.760,34","11.495,24","11.881,16","11.268,59","","1,29%"
"01/10/2015","11.610,92","10.702,10","11.727,47","10.389,60","","10,02%"
"01/09/2015","10.553,49","10.847,90","11.194,95","10.134,45","","-4,11%"
"01/08/2015","11.005,48","12.007,99","12.341,51","10.005,88","","-8,45%"
"01/07/2015","12.021,75","11.462,72","12.263,31","10.884,19","","6,17%"
"01/06/2015","11.322,71","11.828,24","12.043,26","11.129,29","","-3,80%"
"01/05/2015","11.770,28","11.744,58","12.200,97","11.336,72","","0,50%"
"01/04/2015","11.712,07","11.570,65","12.232,55","11.566,15","","0,74%"
"01/03/2015","11.626,11","11.384,06","11.786,98","11.196,89","","1,84%"
"01/02/2015","11.416,45","10.636,74","11.416,45","10.570,00","","7,54%"
"01/01/2015","10.615,84","9.898,53","10.789,05","9.396,25","","7,78%"
"01/12/2014","9.849,44","10.009,18","10.182,25","9.047,93","","-2,40%"
"01/11/2014","10.091,90","9.709,14","10.122,07","9.462,59","","3,76%"
"01/10/2014","9.725,87","10.101,91","10.164,23","8.707,09","","-4,06%"
"01/09/2014","10.137,79","10.048,02","10.336,74","9.949,01","","0,95%"
"01/08/2014","10.042,10","9.710,46","10.089,05","9.419,27","","3,18%"
"01/07/2014","9.732,89","10.172,57","10.293,54","9.714,98","","-3,96%"
"01/06/2014","10.133,93","10.338,92","10.516,37","10.098,12","","-1,65%"
"01/05/2014","10.304,07","10.059,26","10.331,82","9.899,14","","2,31%"
"01/04/2014","10.071,44","9.859,75","10.094,82","9.664,38","","2,56%"
"01/03/2014","9.819,86","9.686,64","9.907,96","9.339,68","","-0,23%"
"01/02/2014","9.842,25","9.288,32","9.870,96","9.111,05","","5,82%"
"01/01/2014","9.301,11","9.619,19","9.715,29","9.151,69","","-3,01%"
"01/12/2013","9.589,71","9.565,15","9.593,90","9.032,78","","0,28%"
"01/11/2013","9.562,51","9.557,88","9.677,20","9.356,48","","0,11%"
"01/10/2013","9.551,62","9.218,74","9.573,90","9.120,18","","3,78%"
"01/09/2013","9.204,08","8.816,36","9.376,01","8.710,74","","5,50%"
"01/08/2013","8.724,39","8.866,86","9.146,02","8.724,39","","-1,48%"
"01/07/2013","8.855,03","8.339,95","8.887,15","8.134,62","","6,86%"
"01/06/2013","8.286,19","8.678,49","8.785,20","7.923,40","","-4,91%"
"01/05/2013","8.714,04","8.312,79","8.975,50","8.298,11","","4,31%"
"01/04/2013","8.353,64","8.052,91","8.417,93","7.739,86","","3,67%"
"01/03/2013","8.057,54","8.004,90","8.345,88","7.892,41","","0,40%"
"01/02/2013","8.025,59","8.050,80","8.161,84","7.762,18","","-0,25%"
"01/01/2013","8.045,75","7.981,98","8.176,50","7.932,49","","2,54%"
"01/12/2012","7.846,44","7.672,43","7.939,29","7.661,78","","2,58%"
"01/11/2012","7.649,44","7.342,33","7.708,46","7.180,46","","3,87%"
"01/10/2012","7.364,20","7.191,80","7.607,52","7.191,14","","2,22%"
"01/09/2012","7.204,33","7.268,46","7.678,87","7.204,33","","-1,21%"
"01/08/2012","7.292,39","7.042,92","7.529,15","6.904,56","","3,72%"
"01/07/2012","7.031,00","6.824,44","7.123,19","6.547,86","","3,06%"
"01/06/2012","6.822,01","6.407,33","6.822,01","6.190,72","","6,77%"
"01/05/2012","6.389,53","6.760,72","6.794,51","6.262,40","","-4,13%"
"01/04/2012","6.665,06","7.097,98","7.180,39","6.389,63","","-5,84%"
"01/03/2012","7.078,17","7.108,13","7.429,77","6.938,82","","-0,65%"
"01/02/2012","7.124,30","6.859,96","7.200,77","6.846,42","","4,69%"
"01/01/2012","6.804,88","6.528,65","6.949,52","6.425,28","","4,39%"
"01/12/2011","6.518,67","6.489,14","6.673,96","6.068,24","","0,47%"
"01/11/2011","6.488,30","6.558,41","6.621,30","5.742,38","","-2,45%"
"01/10/2011","6.651,41","5.957,74","6.996,77","5.759,95","","8,75%"
"01/09/2011","6.116,31","6.679,37","6.730,28","5.524,07","","-8,05%"
"01/08/2011","6.651,51","7.590,14","7.600,61","5.903,08","","-11,27%"
"01/07/2011","7.495,99","8.114,62","8.208,67","7.395,10","","-7,69%"
"01/06/2011","8.120,03","8.143,30","8.150,14","7.628,53","","-0,10%"
"01/05/2011","8.128,33","8.215,07","8.217,28","7.862,65","","-0,33%"
"01/04/2011","8.155,62","7.943,46","8.162,52","7.641,84","","3,33%"
"01/03/2011","7.892,68","8.161,57","8.202,42","7.308,54","","-2,95%"
"01/02/2011","8.132,42","7.991,69","8.248,53","7.883,15","","2,64%"
"01/01/2011","7.923,39","7.591,88","8.069,35","7.499,00","","5,28%"
"01/12/2010","7.526,34","7.192,86","7.786,02","7.158,19","","5,44%"
"01/11/2010","7.138,02","7.599,36","7.789,13","7.101,12","","-5,29%"
"01/10/2010","7.537,07","7.323,23","7.655,85","7.153,37","","3,18%"
"01/09/2010","7.304,45","6.890,03","7.520,33","6.839,79","","6,43%"
"01/08/2010","6.863,27","7.210,76","7.462,05","6.702,22","","-3,99%"
"01/07/2010","7.148,50","6.642,13","7.300,55","6.514,22","","5,93%"
"01/06/2010","6.748,15","6.819,33","7.365,89","6.532,00","","-1,47%"
"01/05/2010","6.848,55","7.234,07","7.330,52","6.386,32","","-5,71%"
"01/04/2010","7.263,16","7.604,24","7.771,02","7.131,10","","-3,90%"
"01/03/2010","7.558,03","7.118,28","7.661,93","7.084,13","","7,15%"
"01/02/2010","7.053,64","7.056,59","7.285,36","6.742,53","","-0,80%"
"01/01/2010","7.110,56","7.518,05","7.773,66","7.014,21","","-5,00%"
"01/12/2009","7.484,93","7.064,83","7.562,10","7.051,25","","7,15%"
"01/11/2009","6.985,51","6.806,98","7.337,62","6.708,53","","2,45%"
"01/10/2009","6.818,21","7.180,34","7.396,75","6.804,55","","-4,95%"
"01/09/2009","7.172,99","6.948,51","7.288,77","6.681,77","","3,88%"
"01/08/2009","6.904,87","6.458,81","7.038,57","6.407,28","","6,83%"
"01/07/2009","6.463,24","5.961,52","6.518,39","5.579,59","","9,20%"
"01/06/2009","5.918,47","6.260,89","6.396,07","5.835,06","","-3,78%"
"01/05/2009","6.151,27","5.847,99","6.226,15","5.781,43","","5,99%"
"01/04/2009","5.803,84","5.094,60","5.866,96","5.000,35","","13,34%"
"01/03/2009","5.120,88","4.811,50","5.323,15","4.497,26","","3,88%"
"01/02/2009","4.929,60","5.354,43","5.738,33","4.823,28","","-9,10%"
"01/01/2009","5.423,27","5.926,94","6.246,26","5.051,56","","-7,56%"
"01/12/2008","5.866,91","5.932,29","6.089,61","5.386,28","","-1,26%"
"01/11/2008","5.941,56","6.376,39","6.676,73","5.158,62","","-5,80%"
"01/10/2008","6.307,68","7.350,68","7.436,71","5.353,00","","-13,50%"
"01/09/2008","7.291,78","8.037,93","8.231,54","6.952,75","","-9,89%"
"01/08/2008","8.092,22","7.788,12","8.217,60","7.727,28","","2,06%"
"01/07/2008","7.928,95","7.833,55","7.958,53","7.331,07","","-0,92%"
"01/06/2008","8.002,50","8.885,11","8.976,36","7.933,63","","-11,34%"
"01/05/2008","9.025,67","8.927,55","9.130,54","8.771,29","","2,60%"
"01/04/2008","8.797,11","8.525,55","8.825,66","8.352,39","","6,67%"
"01/03/2008","8.247,09","8.309,45","8.333,55","7.763,47","","-1,72%"
"01/02/2008","8.391,77","8.720,03","8.720,03","8.202,66","","-1,63%"
"01/01/2008","8.530,39","9.721,29","9.721,29","8.122,18","","-13,25%"
"01/12/2007","9.832,90","9.857,66","10.070,30","9.628,57","","-0,97%"
"01/11/2007","9.929,65","10.007,10","10.007,10","9.419,36","","-2,76%"
"01/10/2007","10.211,50","10.079,80","10.236,20","9.885,50","","2,33%"
"01/09/2007","9.979,26","9.866,78","10.010,10","9.404,39","","0,94%"
"01/08/2007","9.886,74","9.870,58","10.036,40","9.191,81","","-1,52%"
"01/07/2007","10.039,50","10.514,90","10.692,30","9.852,53","","-4,96%"
"01/06/2007","10.563,70","10.707,80","10.707,80","10.258,40","","-0,29%"
"01/05/2007","10.594,30","10.225,84","10.594,30","10.225,84","","4,19%"
"01/04/2007","10.168,15","9.618,43","10.168,15","9.618,43","","5,93%"
"01/03/2007","9.599,01","9.299,57","9.600,02","9.023,27","","2,14%"
"01/02/2007","9.398,24","9.645,28","9.816,13","9.398,24","","-1,62%"
"01/01/2007","9.553,41","9.569,41","9.616,91","9.372,23","","1,20%"
"01/12/2006","9.440,04","8.948,18","9.440,04","8.948,18","","4,05%"
"01/11/2006","9.072,74","9.125,18","9.365,29","9.021,90","","-0,16%"
"01/10/2006","9.087,57","8.908,17","9.232,10","8.868,50","","1,88%"
"01/09/2006","8.919,85","8.804,45","8.919,86","8.594,15","","1,67%"
"01/08/2006","8.773,17","8.404,91","8.803,33","8.404,91","","3,11%"
"01/07/2006","8.508,85","8.457,54","8.541,28","8.041,94","","0,90%"
"01/06/2006","8.432,64","8.351,78","8.432,64","7.830,87","","1,32%"
"01/05/2006","8.322,89","8.680,94","8.834,25","8.079,32","","-3,15%"
"01/04/2006","8.593,50","8.704,24","8.704,24","8.422,44","","-0,62%"
"01/03/2006","8.647,26","8.376,88","8.679,14","8.230,97","","4,41%"
"01/02/2006","8.282,21","8.280,46","8.414,83","8.107,69","","1,06%"
"01/01/2006","8.195,33","7.875,54","8.209,58","7.864,61","","4,94%"
"01/12/2005","7.809,80","7.677,44","7.905,37","7.677,44","","3,26%"
"01/11/2005","7.563,11","7.327,52","7.617,87","7.319,10","","3,18%"
"01/10/2005","7.330,33","7.637,80","7.683,56","7.149,00","","-3,56%"
"01/09/2005","7.600,60","7.310,00","7.600,60","7.278,28","","4,56%"
"01/08/2005","7.269,04","7.364,07","7.480,13","7.175,43","","-1,18%"
"01/07/2005","7.355,58","7.054,24","7.372,98","6.973,72","","5,26%"
